ContractNumber,LineOfBusiness,SeriesName,PlanName,ActivityStatus,CoverageType,BillingMethod,ModalPremium,InForceFlag,PayUpDate,Duration,Language,CreditCardNo,CardType,BankingTransitNumber,BankingAccountType,BankingAccountNumber,ContractID,Product_ProductID
POL75424832,Term Life,S300,Standard,Lapsed,Joint,Quarterly,485.14,Y,2040-03-29,15,Mandarin,3537263987988482,jcb,225733009,Savings,0647883028,89,9
POL95579377,Whole Life,S200,Standard,Active,Individual,Annual,666.21,N,2040-03-30,18,Mandarin,4026313368534706,Amex,866414120,Savings,7262205063,90,12
POL82933776,Whole Life,S300,Preferred,Paid Up,Joint,Annual,557.52,Y,2040-03-31,21,Mandarin,3540924841023155,jcb,742372301,Savings,2158162795,91,13
POL56806846,Whole Life,S200,Select,Paid Up,Individual,Monthly,827.39,N,2040-04-01,28,Spanish,3573769463888363,jcb,000815568,Savings,7976226263,92,5
POL71119356,Term Life,S100,Preferred,Active,Individual,Quarterly,339.12,Y,2040-04-02,16,Spanish,4913141849174347,Amex,596390623,Checking,7705707539,93,6
POL37138705,Term Life,S300,Select,Active,Individual,Monthly,243.83,N,2040-04-03,12,Spanish,374288979729604,Amex,221196624,Checking,5963524545,94,13
POL65874602,Whole Life,S300,Preferred,Lapsed,Joint,Quarterly,767.47,Y,2040-04-04,28,English,3578837417250264,jcb,265237431,Checking,6398017025,95,13
POL16984480,Whole Life,S100,Select,Lapsed,Individual,Quarterly,667.87,N,2040-04-05,26,Spanish,374622265217934,Amex,286855324,Savings,3756206567,96,7
POL10836940,Term Life,S100,Select,Paid Up,Individual,Monthly,140.17,Y,2040-04-06,23,Mandarin,3545394408019159,jcb,644465569,Savings,4081078224,97,4
POL46418158,Whole Life,S100,Select,Paid Up,Individual,Quarterly,548.97,N,2040-04-07,26,Mandarin,3537061034714061,jcb,490340942,Checking,0554758181,98,1
POL50124112,Term Life,S300,Select,Paid Up,Individual,Annual,501.72,Y,2040-04-08,16,Mandarin,3534197263722442,jcb,756278173,Checking,3479403061,99,1
POL54919344,Whole Life,S100,Preferred,Active,Joint,Quarterly,71.28,N,2040-04-09,25,English,3576354733373012,jcb,037840991,Checking,8594750383,100,3
POL01408747,Universal Life,S200,Preferred,Lapsed,Joint,Quarterly,189.18,Y,2040-04-10,19,Mandarin,5442576654275456,mastercard,447014225,Savings,7971934552,101,15
POL81574439,Whole Life,S100,Select,Lapsed,Individual,Annual,869.08,N,2040-04-11,28,English,5100175356677441,mastercard,652160876,Savings,1171892190,102,1
POL69290375,Whole Life,S200,Standard,Paid Up,Individual,Monthly,177.42,Y,2040-04-12,26,English,4913341425687700,Amex,845333763,Checking,7743786257,103,2
POL01053873,Term Life,S100,Preferred,Active,Joint,Annual,802.29,N,2040-04-13,24,Mandarin,5007663327168321,mastercard,683844407,Checking,3903541680,104,9
POL33692808,Term Life,S100,Select,Active,Joint,Monthly,578.58,Y,2040-04-14,16,English,201529597674782,Amex,826700065,Savings,5837557617,105,2
POL43541838,Whole Life,S100,Preferred,Lapsed,Joint,Monthly,373.65,N,2040-04-15,22,Spanish,3555714067391051,jcb,003913308,Savings,0395483050,106,9
POL62969138,Term Life,S300,Preferred,Paid Up,Joint,Monthly,516.93,Y,2040-04-16,10,Mandarin,63049717384122248,laser,699981438,Savings,2063547544,107,15
POL26593740,Whole Life,S200,Preferred,Active,Individual,Annual,203.74,N,2040-04-17,24,Spanish,676731733463956069,solo,881396757,Checking,5187618756,108,5
POL12198286,Universal Life,S300,Preferred,Paid Up,Joint,Quarterly,591.89,Y,2040-04-18,29,Spanish,3534826669375666,jcb,362935821,Checking,4165442224,109,5
POL10180550,Whole Life,S100,Standard,Lapsed,Joint,Annual,884.53,N,2040-04-19,18,English,347275438914111,Amex,330043945,Checking,0601753659,110,2
POL44058334,Universal Life,S100,Standard,Paid Up,Joint,Annual,668.0,Y,2040-04-20,16,English,6759563661565490870,maestro,079225332,Checking,9863659641,111,12
POL77479427,Universal Life,S100,Standard,Lapsed,Joint,Monthly,808.0,N,2040-04-21,15,Mandarin,5048374312442900,mastercard,935239748,Savings,8253243943,112,12
POL77062746,Universal Life,S200,Standard,Lapsed,Individual,Monthly,511.33,Y,2040-04-22,28,English,201567244060278,Amex,042322388,Savings,3156302433,113,12
POL82433380,Term Life,S100,Preferred,Paid Up,Individual,Quarterly,227.94,N,2040-04-23,13,English,3542731097994379,jcb,121482604,Savings,0759858883,114,10
POL24126200,Term Life,S300,Preferred,Paid Up,Joint,Quarterly,864.36,Y,2040-04-24,22,Mandarin,5010122254676132,mastercard,751937725,Checking,2944454292,115,8
POL06542415,Whole Life,S200,Standard,Active,Individual,Monthly,394.42,N,2040-04-25,15,English,3535630272299001,jcb,685379155,Savings,5305584197,116,6
POL53060905,Universal Life,S200,Standard,Active,Individual,Quarterly,180.95,Y,2040-04-26,11,Spanish,5475867173308591,Amex,281000976,Checking,9443940528,117,11
POL84261200,Universal Life,S200,Preferred,Lapsed,Individual,Quarterly,281.8,N,2040-04-27,13,English,4913175842604579,Amex,276910464,Checking,3348276343,118,5
POL73260001,Whole Life,S100,Select,Lapsed,Joint,Monthly,406.37,Y,2040-04-28,18,English,3586417566639540,jcb,123836349,Checking,6808941333,119,6
POL16948187,Universal Life,S300,Select,Active,Individual,Annual,745.74,N,2040-04-29,14,Spanish,3561632048954692,jcb,664296504,Savings,7163156198,120,7
POL79137273,Term Life,S300,Standard,Lapsed,Individual,Quarterly,188.51,Y,2040-04-30,26,English,3577990111212345,jcb,906027601,Checking,3602027976,121,3
POL38661558,Term Life,S100,Preferred,Lapsed,Individual,Annual,515.91,N,2040-05-01,10,Mandarin,3555649514213088,jcb,271785418,Savings,7131399184,122,14
POL69923055,Term Life,S100,Select,Lapsed,Individual,Quarterly,199.24,Y,2040-05-02,11,English,374622045338711,Amex,484464922,Savings,5759887078,123,9
POL38888890,Term Life,S100,Standard,Lapsed,Individual,Monthly,383.02,N,2040-05-03,13,Mandarin,4905001297887628,switch,537030089,Savings,9817338174,124,15
POL48244919,Term Life,S200,Standard,Paid Up,Joint,Annual,750.6,Y,2040-05-04,12,Spanish,3532265026298760,jcb,959471476,Checking,3092417145,125,4
POL44125914,Universal Life,S200,Select,Lapsed,Individual,Annual,344.04,N,2040-05-05,25,Spanish,3545455414620569,jcb,860210920,Savings,9672495680,126,4
POL26409428,Whole Life,S200,Select,Active,Joint,Annual,842.38,Y,2040-05-06,24,Mandarin,5048372594005577,mastercard,703118013,Savings,1709905812,127,12
POL05541199,Whole Life,S300,Preferred,Lapsed,Joint,Quarterly,830.51,N,2040-05-07,18,English,3554024349870315,jcb,307033942,Checking,9454465779,128,1
POL49770753,Whole Life,S300,Select,Lapsed,Joint,Annual,473.38,Y,2040-05-08,12,Mandarin,6395918345510963,Amex,305794252,Checking,5738854811,129,15
POL48655581,Whole Life,S300,Select,Lapsed,Individual,Annual,546.97,N,2040-05-09,23,Spanish,3542788300004008,jcb,473710671,Savings,8348994646,130,11
POL46369874,Term Life,S300,Preferred,Active,Individual,Monthly,495.95,Y,2040-05-10,10,English,0604750110456357399,maestro,739814165,Savings,0799199150,131,5
POL64068095,Whole Life,S300,Select,Lapsed,Joint,Annual,850.16,N,2040-05-11,30,Spanish,30258867673582,Amex,072167863,Checking,9399299767,132,12
POL70389558,Term Life,S100,Preferred,Paid Up,Individual,Quarterly,166.15,Y,2040-05-12,17,Spanish,3544602026570291,jcb,673864328,Checking,0252524484,133,14
POL44028746,Term Life,S200,Standard,Active,Joint,Quarterly,608.21,N,2040-05-13,16,English,502012297191447971,maestro,395797414,Savings,0587060725,134,3
POL01496279,Term Life,S200,Standard,Paid Up,Individual,Monthly,536.86,Y,2040-05-14,18,Spanish,374283408639136,Amex,309085332,Checking,2516614062,135,13
POL98551672,Universal Life,S100,Standard,Active,Joint,Quarterly,429.97,N,2040-05-15,11,Mandarin,5007665001588740,mastercard,120908869,Savings,0397785545,136,8
POL15892192,Term Life,S100,Standard,Paid Up,Individual,Annual,501.46,Y,2040-05-16,22,English,3552317627950342,jcb,791535629,Checking,5711107744,137,8
POL21987102,Whole Life,S200,Preferred,Paid Up,Joint,Annual,414.3,N,2040-05-17,25,English,50388062090413789,maestro,273564345,Savings,9319540647,138,2
POL91869908,Whole Life,S200,Standard,Active,Joint,Annual,686.66,Y,2040-05-18,22,English,4405895077138903,Amex,789330314,Checking,4186081445,139,9
POL54477142,Term Life,S200,Select,Paid Up,Joint,Monthly,800.45,N,2040-05-19,13,Spanish,201836132280334,Amex,030190556,Savings,7224648273,140,10
POL17262106,Universal Life,S300,Standard,Paid Up,Joint,Annual,735.87,Y,2040-05-20,19,Spanish,3574833497819189,jcb,781824717,Savings,2802051526,141,9
POL62254007,Term Life,S300,Preferred,Paid Up,Individual,Annual,515.49,N,2040-05-21,22,Mandarin,3547819460795591,jcb,782146811,Checking,8902398250,142,14
POL91297788,Universal Life,S300,Preferred,Lapsed,Joint,Quarterly,461.55,Y,2040-05-22,15,Mandarin,3569059746677536,jcb,392304096,Checking,8903694815,143,1
POL72751038,Term Life,S200,Standard,Active,Individual,Annual,870.96,N,2040-05-23,25,English,676350211116396801,maestro,500775632,Checking,0699198233,144,7
POL03910839,Universal Life,S300,Preferred,Lapsed,Joint,Quarterly,267.29,Y,2040-05-24,15,English,6373355680426172,Amex,251118830,Savings,0844073717,145,13
POL15080585,Term Life,S100,Select,Lapsed,Joint,Monthly,364.47,N,2040-05-25,29,Spanish,3542840641114143,jcb,563665680,Checking,3161281239,146,5
POL50448446,Universal Life,S100,Standard,Paid Up,Joint,Monthly,885.7,Y,2040-05-26,29,English,3536009937822250,jcb,444710400,Savings,8176953026,147,10
POL93790687,Whole Life,S300,Standard,Lapsed,Joint,Monthly,340.12,N,2040-05-27,13,English,3579757658376520,jcb,361280369,Checking,1759267900,148,15
POL78181828,Universal Life,S300,Preferred,Paid Up,Individual,Monthly,392.03,Y,2040-05-28,14,Spanish,5438576946735271,mastercard,393724806,Checking,5053884027,149,7
POL99499229,Whole Life,S200,Standard,Active,Individual,Annual,777.07,N,2040-05-29,19,English,3542291287255529,jcb,503777140,Checking,0888468725,150,6
POL55552638,Universal Life,S100,Standard,Paid Up,Joint,Annual,680.23,Y,2040-05-30,22,Spanish,4844580514692501,Amex,160629903,Checking,1105747172,151,7
POL81422883,Whole Life,S100,Select,Active,Individual,Annual,82.7,N,2040-05-31,17,English,3534204638682648,jcb,114793863,Checking,5250133722,152,3
POL99796621,Whole Life,S300,Select,Lapsed,Joint,Monthly,341.45,Y,2040-06-01,21,English,4017955521075,visa,459269940,Checking,2747611405,153,10
POL92641548,Term Life,S100,Standard,Lapsed,Individual,Annual,746.18,N,2040-06-02,19,Mandarin,374283268594348,Amex,233768821,Checking,8928753177,154,9
POL46527986,Whole Life,S300,Standard,Active,Joint,Quarterly,152.51,Y,2040-06-03,11,English,3562304363088725,jcb,186151419,Savings,3537248969,155,4
POL86918592,Whole Life,S300,Standard,Lapsed,Individual,Quarterly,144.72,N,2040-06-04,29,Mandarin,3551221952002839,jcb,551495939,Checking,0371838521,156,2
POL74651942,Term Life,S100,Select,Paid Up,Individual,Quarterly,293.91,Y,2040-06-05,15,Mandarin,3533720124060644,jcb,054731551,Checking,3884990129,157,3
POL95047616,Term Life,S300,Preferred,Paid Up,Individual,Annual,91.56,N,2040-06-06,11,Mandarin,201955933730410,Amex,503971497,Savings,3855921400,158,15
POL65073448,Term Life,S200,Preferred,Lapsed,Joint,Annual,700.76,Y,2040-06-07,19,Mandarin,3563479881853385,jcb,605700905,Savings,8468488940,159,11
POL64723612,Universal Life,S100,Standard,Paid Up,Individual,Quarterly,528.55,N,2040-06-08,21,Mandarin,67062824699831050,laser,089934316,Savings,6491877857,160,10
POL81049666,Universal Life,S200,Preferred,Lapsed,Individual,Quarterly,156.73,Y,2040-06-09,27,English,374622610557620,Amex,298774646,Savings,3391980948,161,6
POL65047786,Whole Life,S100,Standard,Paid Up,Joint,Quarterly,712.5,N,2040-06-10,29,English,3589637978404913,jcb,348805471,Savings,7728541120,162,11
POL04953753,Term Life,S200,Select,Paid Up,Individual,Quarterly,689.4,Y,2040-06-11,23,Mandarin,5100179379614068,mastercard,765745595,Savings,9023189639,163,11
POL93425541,Term Life,S100,Standard,Lapsed,Joint,Quarterly,880.47,N,2040-06-12,13,English,3575057174417187,jcb,961640406,Checking,5473402007,164,14
POL99451105,Whole Life,S300,Select,Lapsed,Individual,Annual,710.26,Y,2040-06-13,16,English,3535780340435424,jcb,958445868,Checking,8422083002,165,14
POL28020726,Whole Life,S200,Standard,Active,Individual,Annual,339.04,N,2040-06-14,12,Mandarin,3571314587612621,jcb,999400714,Checking,8259908724,166,12
POL77472187,Universal Life,S100,Select,Active,Joint,Quarterly,324.88,Y,2040-06-15,19,English,560223502834622473,Amex,108855930,Checking,7452036746,167,8
POL54225916,Whole Life,S300,Preferred,Lapsed,Individual,Annual,801.14,N,2040-06-16,19,Mandarin,3540461100535959,jcb,088017344,Savings,1688731657,168,4
POL65099944,Universal Life,S200,Preferred,Paid Up,Joint,Quarterly,768.93,Y,2040-06-17,19,Mandarin,374288725087141,Amex,184635040,Savings,3447837158,169,8
POL98160737,Whole Life,S300,Preferred,Lapsed,Joint,Annual,643.13,N,2040-06-18,14,Spanish,3557550865412071,jcb,614860428,Savings,7123360440,170,5
